,Train Accuracy Mean,Train Accuracy Median,Train Accuracy Stdev,Train F1 Mean,Train F1 Median,Train F1 Stdev,Train Precision Mean,Train Precision Median,Train Precision Stdev,Train Recall Mean,Train Recall Median,Train Recall Stdev,Val Accuracy Mean,Val Accuracy Median,Val Accuracy Stdev,Val F1 Mean,Val F1 Median,Val F1 Stdev,Val Precision Mean,Val Precision Median,Val Precision Stdev,Val Recall Mean,Val Recall Median,Val Recall Stdev
Logistic Regression 1,0.9403592427521155,0.9402834008097165,0.0009695851621895643,0.9437089587594599,0.9436359740654912,0.0008231902659595377,0.9517195754887968,0.9517209424013179,0.00042775865436711646,0.9403592427521155,0.9402834008097165,0.0009695851621895643,0.910729465256499,0.9105218938420481,0.009580280143673134,0.9164262714167781,0.9167578339926782,0.00844339104138234,0.9277663218066825,0.9291365870743568,0.00650150402005284,0.910729465256499,0.9105218938420481,0.009580280143673134
Logistic Regression 2,0.855046924217989,0.8804855556973894,0.05977817192805884,0.8634365363081317,0.8855297380112255,0.044053568594317194,0.9080884281890536,0.9088488468421858,0.008092509206216594,0.855046924217989,0.8804855556973894,0.05977817192805884,0.8383565066499731,0.8558284735264077,0.05352337445985639,0.847628188621318,0.8550096017157749,0.03737564277434597,0.8889947064457502,0.8911828736028957,0.01019804563628867,0.8383565066499731,0.8558284735264077,0.05352337445985639
Decision Tree 1,0.7249090922634718,0.7261016449294181,0.013120391516457754,0.7571483933615946,0.7581459107286346,0.011484351191086506,0.8482206688589796,0.848409296951301,0.006759565189226111,0.7249090922634718,0.7261016449294181,0.013120391516457754,0.6232188944900223,0.625,0.02596142991509797,0.6703628780681808,0.6732180052252881,0.02218747794313808,0.7643082433512792,0.7642698258749907,0.012790714715367106,0.6232188944900223,0.625,0.02596142991509797
Random Forest 1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9556156853700593,0.9560901343173756,0.007681187525027871,0.9552614323870712,0.9558111366598508,0.007733914411211216,0.9558409233633561,0.9562135510621725,0.007268798684886663,0.9556156853700593,0.9560901343173756,0.007681187525027871
TPOT,0.726307520978513,0.7261685682738315,0.0017804729872607165,0.7520442262178273,0.7518244574902049,0.0015162535498957424,0.8018578508893441,0.801855235937631,0.001067776776601201,0.726307520978513,0.7261685682738315,0.0017804729872607165,0.7201088926229778,0.7224501114735374,0.008624394981965811,0.7466963625232043,0.7481055737711693,0.013519272529406677,0.7973471954634755,0.7977346458698467,0.008624394981965811,0.7201088926229778,0.7224501114735374,0.016526075791836636
